iter	RMSE
0	4450.076713
1	4297.705454
2	4160.945779
3	4030.662255
4	3928.37258
5	3813.587264
6	3710.670344
7	3633.469176
8	3542.362361
9	3466.605695
10	3391.040917
11	3326.697326
12	3266.005689
13	3200.534904
14	3141.892285
15	3096.370592
16	3042.736269
17	2999.793058
18	2962.56278
19	2928.478605
20	2897.857712
21	2868.180524
22	2831.860139
23	2811.0144
24	2787.097771
25	2757.137059
26	2731.341968
27	2704.307044
28	2678.876528
29	2655.830109
30	2637.475953
31	2624.512781
32	2611.832306
33	2600.493264
34	2581.43596
35	2565.733015
36	2550.734006
37	2544.35249
38	2532.564684
39	2523.635797
40	2514.630405
41	2501.403894
42	2487.065948
43	2475.184851
44	2465.032408
45	2453.159812
46	2445.05336
47	2436.67125
48	2427.903801
49	2422.548459
50	2411.940483
51	2404.697036
52	2400.959364
53	2391.638649
54	2384.521416
55	2377.38865
56	2372.791201
57	2361.791554
58	2350.194647
59	2339.399672
60	2336.420411
61	2333.194
62	2324.911141
63	2317.329868
64	2313.704394
65	2309.964484
66	2302.964302
67	2298.565171
68	2295.276819
69	2289.164903
70	2285.288148
71	2280.990609
72	2278.242271
73	2275.267597
74	2268.010541
75	2261.550185
76	2257.342289
77	2255.139951
78	2249.680451
79	2243.677683
80	2241.120404
81	2239.365536
82	2234.443131
83	2230.518786
84	2225.779015
85	2219.946245
86	2217.226124
87	2214.138533
88	2210.173653
89	2207.935743
90	2205.542746
91	2199.417471
92	2192.12359
93	2190.245048
94	2185.410808
95	2182.558753
96	2180.599023
97	2177.123889
98	2173.259293
99	2170.459779
100	2168.660599
101	2163.687382
102	2159.169268
103	2157.429249
104	2152.807713
105	2147.826117
106	2143.00701
107	2140.060531
108	2137.241259
109	2134.769594
110	2132.404494
111	2130.603247
112	2126.592146
113	2125.081173
114	2121.190567
115	2116.539364
116	2113.923647
117	2111.320519
118	2107.582449
119	2104.470674
120	2101.456573
121	2098.216517
122	2094.899873
123	2091.612725
124	2089.804036
125	2088.309549
126	2086.40401
127	2085.56655
128	2081.569802
129	2079.892118
130	2076.611967
131	2075.796992
132	2071.928941
133	2070.757607
134	2069.787347
135	2067.196338
136	2065.724541
137	2063.145885
138	2060.152644
139	2056.952543
140	2055.724275
