iter	Passed	Remaining
0	146	146255
1	148	74050
2	150	50001
3	152	37999
4	154	30748
5	156	25898
6	158	22436
7	160	19879
8	162	17863
9	164	16240
10	165	14921
11	167	13822
12	169	12893
13	171	12093
14	173	11399
15	175	10792
16	177	10261
17	179	9783
18	181	9356
19	183	8969
20	185	8633
21	186	8312
22	188	8022
23	191	7773
24	193	7528
25	194	7303
26	196	7092
27	198	6895
28	200	6727
29	202	6554
30	204	6394
31	206	6245
32	208	6113
33	210	5980
34	212	5854
35	214	5738
36	216	5627
37	217	5515
38	219	5413
39	221	5320
40	223	5230
41	225	5143
42	227	5060
43	229	4979
44	231	4904
45	233	4834
46	234	4762
47	236	4697
48	238	4631
49	240	4573
50	242	4513
51	244	4456
52	246	4401
53	248	4352
54	250	4301
55	252	4251
56	254	4203
57	256	4159
58	257	4114
59	259	4068
60	261	4025
61	263	3984
62	265	3946
63	267	3907
64	268	3868
65	270	3829
66	272	3797
67	274	3763
68	276	3730
69	278	3697
70	280	3667
71	282	3637
72	283	3606
73	285	3576
74	287	3549
75	289	3522
76	291	3496
77	293	3470
78	295	3447
79	297	3422
80	299	3397
81	301	3373
82	303	3351
83	305	3330
84	307	3307
85	309	3285
86	310	3262
87	313	3245
88	315	3224
89	316	3203
90	318	3183
91	320	3166
92	322	3146
93	324	3127
94	326	3108
95	328	3092
96	330	3075
97	332	3058
98	334	3042
99	336	3026
100	338	3011
101	340	2996
102	342	2981
103	344	2970
104	346	2954
105	348	2938
106	350	2924
107	352	2910
108	354	2895
109	356	2881
110	357	2867
111	360	2856
112	362	2843
113	364	2829
114	365	2816
115	368	2804
116	369	2792
117	371	2779
118	373	2766
119	375	2756
120	377	2744
121	379	2732
122	381	2720
123	383	2708
124	385	2697
125	387	2685
126	389	2677
127	391	2667
128	393	2658
129	395	2647
130	397	2637
131	399	2626
132	401	2616
133	403	2605
134	405	2596
135	407	2586
136	409	2578
137	411	2568
138	412	2557
139	414	2548
140	416	2539
141	419	2533
142	421	2525
143	423	2516
144	425	2508
145	427	2499
146	429	2491
147	431	2482
148	433	2474
149	435	2466
150	437	2457
151	438	2448
152	440	2441
153	442	2432
154	444	2424
155	446	2415
156	448	2409
157	450	2401
158	452	2392
159	454	2384
160	456	2378
161	458	2370
162	460	2362
163	461	2354
164	463	2347
165	465	2340
166	467	2333
167	469	2325
168	471	2319
169	473	2312
170	475	2304
171	477	2296
172	478	2289
173	480	2282
174	482	2276
175	484	2268
176	486	2261
177	488	2256
178	490	2249
179	492	2242
180	494	2235
181	496	2229
182	497	2222
183	499	2216
184	501	2209
185	503	2203
186	505	2196
187	507	2190
188	509	2184
189	510	2177
190	512	2171
191	514	2165
192	516	2159
193	518	2152
194	520	2147
195	521	2140
196	523	2134
197	525	2128
198	527	2122
199	529	2117
200	531	2111
201	532	2105
202	534	2100
203	536	2095
204	538	2090
205	540	2084
206	542	2077
207	544	2073
208	546	2067
209	548	2062
210	550	2056
211	551	2051
212	553	2045
213	555	2039
214	557	2034
215	558	2028
216	560	2023
217	562	2017
218	564	2012
219	566	2007
220	568	2002
221	570	1997
222	571	1992
223	573	1987
224	575	1982
225	577	1977
226	579	1972
227	581	1967
228	583	1963
229	585	1958
230	586	1953
231	588	1948
232	590	1944
233	592	1939
234	594	1934
235	596	1929
236	597	1924
237	599	1919
238	601	1914
239	603	1909
240	604	1905
241	606	1900
242	608	1896
243	610	1892
244	612	1887
245	614	1883
246	616	1880
247	618	1875
248	620	1871
249	622	1867
250	624	1863
251	626	1859
252	628	1855
253	630	1851
254	632	1848
255	634	1844
256	636	1840
257	638	1835
258	640	1832
259	642	1828
260	643	1823
261	645	1819
262	647	1815
263	649	1810
264	651	1806
265	653	1802
266	654	1797
267	656	1793
268	658	1789
269	660	1785
270	662	1781
271	664	1777
272	665	1773
273	667	1769
274	669	1764
275	671	1760
276	673	1757
277	675	1753
278	677	1749
279	678	1745
280	681	1742
281	683	1739
282	684	1734
283	686	1730
284	688	1727
285	690	1723
286	692	1719
287	693	1715
288	695	1711
289	697	1707
290	699	1703
291	701	1700
292	703	1696
293	704	1692
294	706	1688
295	708	1684
296	710	1680
297	711	1676
298	713	1672
299	715	1669
300	717	1665
301	719	1662
302	721	1659
303	723	1655
304	724	1651
305	726	1648
306	728	1645
307	730	1641
308	732	1637
309	734	1635
310	737	1633
311	739	1630
312	741	1628
313	744	1626
314	746	1623
315	748	1620
316	766	1652
317	769	1649
318	771	1646
319	773	1642
320	775	1639
321	777	1636
322	779	1634
323	782	1631
324	784	1629
325	786	1625
326	788	1623
327	790	1620
328	793	1618
329	795	1615
330	797	1611
331	799	1608
332	801	1605
333	803	1601
334	805	1598
335	807	1595
336	810	1594
337	812	1591
338	814	1588
339	817	1586
340	819	1583
341	821	1579
342	823	1576
343	825	1574
344	827	1571
345	829	1568
346	832	1565
347	834	1563
348	836	1559
349	838	1557
350	840	1554
351	842	1551
352	844	1547
353	846	1544
354	848	1541
355	850	1538
356	852	1535
357	854	1532
358	856	1529
359	858	1526
360	860	1522
361	862	1519
362	864	1516
363	866	1513
364	867	1509
365	869	1506
366	872	1504
367	874	1501
368	876	1498
369	878	1495
370	880	1492
371	882	1489
372	884	1486
373	886	1483
374	888	1480
375	890	1478
376	892	1475
377	894	1472
378	897	1469
